"Plot Title: garibaldi_hobo_16_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406791, SEN S/N: 10406791)","Bad Battery (LGR S/N: 10406791)","Coupler Attached (LGR S/N: 10406791)","Host Connected (LGR S/N: 10406791)","Stopped (LGR S/N: 10406791)","End Of File (LGR S/N: 10406791)"
388,09/15/19 03:00:00  PM,5.655,,,,,
389,09/15/19 04:00:00  PM,4.311,,,,,
390,09/15/19 05:00:00  PM,4.311,,,,,
391,09/15/19 06:00:00  PM,4.934,,,,,
392,09/15/19 07:00:00  PM,3.683,,,,,
393,09/15/19 08:00:00  PM,2.837,,,,,
394,09/15/19 09:00:00  PM,2.517,,,,,
395,09/15/19 10:00:00  PM,2.517,,,,,
396,09/15/19 11:00:00  PM,1.980,,,,,
397,09/16/19 12:00:00  AM,1.872,,,,,
398,09/16/19 01:00:00  AM,2.088,,,,,
399,09/16/19 02:00:00  AM,1.330,Logged,,,,
400,09/16/19 03:00:00  AM,0.232,,,,,
401,09/16/19 04:00:00  AM,1.439,,,,,
402,09/16/19 05:00:00  AM,-0.437,,,,,
403,09/16/19 06:00:00  AM,-1.114,,,,,
404,09/16/19 07:00:00  AM,-0.213,,,,,
405,09/16/19 08:00:00  AM,2.088,,,,,
406,09/16/19 09:00:00  AM,4.831,,,,,
407,09/16/19 10:00:00  AM,7.381,,,,,
408,09/16/19 11:00:00  AM,10.455,,,,,
409,09/16/19 12:00:00  PM,11.431,,,,,
410,09/16/19 01:00:00  PM,18.616,,,,,
411,09/16/19 02:00:00  PM,9.077,,,,,
412,09/16/19 03:00:00  PM,13.654,,,,,
413,09/16/19 04:00:00  PM,10.161,,,,,
414,09/16/19 05:00:00  PM,9.866,,,,,
415,09/16/19 06:00:00  PM,8.779,,,,,
416,09/16/19 07:00:00  PM,7.582,,,,,
417,09/16/19 08:00:00  PM,6.471,,,,,
418,09/16/19 09:00:00  PM,5.244,,,,,
419,09/16/19 10:00:00  PM,4.207,,,,,
420,09/16/19 11:00:00  PM,3.578,,,,,
421,09/17/19 12:00:00  AM,3.472,,,,,
422,09/17/19 01:00:00  AM,3.472,,,,,
423,09/17/19 02:00:00  AM,3.472,,,,,
424,09/17/19 03:00:00  AM,3.261,,,,,
425,09/17/19 04:00:00  AM,3.261,,,,,
426,09/17/19 05:00:00  AM,3.261,,,,,
427,09/17/19 06:00:00  AM,3.261,,,,,
428,09/17/19 07:00:00  AM,3.049,,,,,
429,09/17/19 08:00:00  AM,3.049,,,,,
430,09/17/19 09:00:00  AM,3.155,,,,,
431,09/17/19 10:00:00  AM,3.261,,,,,
432,09/17/19 11:00:00  AM,4.727,,,,,
433,09/17/19 12:00:00  PM,6.775,,,,,
434,09/17/19 01:00:00  PM,10.063,,,,,
435,09/17/19 02:00:00  PM,12.013,,,,,
436,09/17/19 03:00:00  PM,13.173,,,,,
437,09/17/19 04:00:00  PM,15.951,,,,,
438,09/17/19 05:00:00  PM,17.950,,,,,
439,09/17/19 06:00:00  PM,19.187,,,,,
440,09/17/19 07:00:00  PM,21.855,,,,,
441,09/17/19 08:00:00  PM,23.388,,,,,
442,09/17/19 09:00:00  PM,23.292,,,,,
443,09/17/19 10:00:00  PM,23.773,,,,,
444,09/17/19 11:00:00  PM,23.869,,,,,
445,09/18/19 12:00:00  AM,23.869,,,,,
446,09/18/19 01:00:00  AM,23.869,,,,,
447,09/18/19 02:00:00  AM,23.869,,,,,
448,09/18/19 03:00:00  AM,23.869,,,,,
449,09/18/19 04:00:00  AM,23.869,,,,,
450,09/18/19 05:00:00  AM,23.773,,,,,
451,09/18/19 06:00:00  AM,23.773,,,,,
452,09/18/19 07:00:00  AM,23.966,,,,,
453,09/18/19 08:00:00  AM,23.966,,,,,
454,09/18/19 09:00:00  AM,23.966,,,,,
455,09/18/19 10:00:00  AM,23.966,,,,,
456,09/18/19 11:00:00  AM,23.292,,,,,
457,09/18/19 12:00:00  PM,23.388,,,,,
458,09/18/19 01:00:00  PM,22.908,,,,,
459,09/18/19 02:00:00  PM,22.046,,,,,
460,09/18/19 03:00:00  PM,21.569,,,,,
461,09/18/19 04:00:00  PM,21.569,,,,,
462,09/18/19 04:20:57  PM,,,Logged,,,
463,09/18/19 04:21:04  PM,,,,Logged,,
464,09/18/19 04:21:07  PM,,,,,Logged,Logged
