"Plot Title: garibaldi_hobo_2_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10355029, SEN S/N: 10355029, LBL: temp_C)","Coupler Attached (LGR S/N: 10355029)","Host Connected (LGR S/N: 10355029)","Stopped (LGR S/N: 10355029)","End Of File (LGR S/N: 10355029)"
327,08/09/19 02:00:00  AM,9.669,,,,
328,08/09/19 03:00:00  AM,9.275,,,,
329,08/09/19 04:00:00  AM,8.282,,,,
330,08/09/19 05:00:00  AM,8.581,,,,
331,08/09/19 06:00:00  AM,9.176,,,,
332,08/09/19 07:00:00  AM,9.275,,,,
333,08/09/19 08:00:00  AM,10.259,,,,
334,08/09/19 09:00:00  AM,11.041,,,,
335,08/09/19 10:00:00  AM,12.401,,,,
336,08/09/19 11:00:00  AM,15.282,,,,
337,08/09/19 12:00:00  PM,16.427,,,,
338,08/09/19 01:00:00  PM,21.855,,,,
339,08/09/19 02:00:00  PM,20.043,,,,
340,08/09/19 03:00:00  PM,24.835,,,,
341,08/09/19 04:00:00  PM,27.764,,,,
342,08/09/19 05:00:00  PM,28.159,,,,
343,08/09/19 06:00:00  PM,18.711,,,,
344,08/09/19 07:00:00  PM,15.473,,,,
345,08/09/19 08:00:00  PM,13.654,,,,
346,08/09/19 09:00:00  PM,12.013,,,,
347,08/09/19 10:00:00  PM,11.236,,,,
348,08/09/19 11:00:00  PM,10.357,,,,
349,08/10/19 12:00:00  AM,10.455,,,,
350,08/10/19 01:00:00  AM,10.455,,,,
351,08/10/19 02:00:00  AM,9.965,,,,
352,08/10/19 03:00:00  AM,9.275,,,,
353,08/10/19 04:00:00  AM,10.161,,,,
354,08/10/19 05:00:00  AM,9.768,,,,
355,08/10/19 06:00:00  AM,9.472,,,,
356,08/10/19 07:00:00  AM,10.161,,,,
357,08/10/19 08:00:00  AM,11.236,,,,
358,08/10/19 09:00:00  AM,12.401,,,,
359,08/10/19 10:00:00  AM,12.594,,,,
360,08/10/19 11:00:00  AM,12.401,,,,
361,08/10/19 12:00:00  PM,12.787,,,,
362,08/10/19 01:00:00  PM,16.713,,,,
363,08/10/19 02:00:00  PM,13.269,,,,
364,08/10/19 03:00:00  PM,14.613,,,,
365,08/10/19 04:00:00  PM,20.710,,,,
366,08/10/19 05:00:00  PM,17.665,,,,
367,08/10/19 06:00:00  PM,12.980,,,,
368,08/10/19 07:00:00  PM,11.722,,,,
369,08/10/19 08:00:00  PM,11.236,,,,
370,08/10/19 09:00:00  PM,10.748,,,,
371,08/10/19 10:00:00  PM,10.455,,,,
372,08/10/19 11:00:00  PM,9.768,,,,
373,08/11/19 12:00:00  AM,9.965,,,,
374,08/11/19 01:00:00  AM,9.669,,,,
375,08/11/19 02:00:00  AM,9.571,,,,
376,08/11/19 03:00:00  AM,8.978,,,,
377,08/11/19 04:00:00  AM,8.581,,,,
378,08/11/19 05:00:00  AM,8.978,,,,
379,08/11/19 06:00:00  AM,8.779,,,,
380,08/11/19 07:00:00  AM,8.779,,,,
381,08/11/19 08:00:00  AM,8.680,,,,
382,08/11/19 09:00:00  AM,8.978,,,,
383,08/11/19 10:00:00  AM,9.176,,,,
384,08/11/19 11:00:00  AM,10.259,,,,
385,08/11/19 12:00:00  PM,11.041,,,,
386,08/11/19 01:00:00  PM,11.236,,,,
387,08/11/19 02:00:00  PM,10.063,,,,
388,08/11/19 03:00:00  PM,9.571,,,,
389,08/11/19 04:00:00  PM,9.669,,,,
390,08/11/19 05:00:00  PM,9.768,,,,
391,08/11/19 06:00:00  PM,9.571,,,,
392,08/11/19 07:00:00  PM,10.063,,,,
393,08/11/19 08:00:00  PM,9.373,,,,
394,08/11/19 09:00:00  PM,8.978,,,,
395,08/11/19 10:00:00  PM,8.978,,,,
396,08/11/19 11:00:00  PM,8.879,,,,
397,08/12/19 12:00:00  AM,8.680,,,,
398,08/12/19 01:00:00  AM,8.382,,,,
399,08/12/19 02:00:00  AM,8.182,,,,
400,08/12/19 03:00:00  AM,7.983,,,,
401,08/12/19 04:00:00  AM,7.381,,,,
402,08/12/19 05:00:00  AM,7.582,,,,
403,08/12/19 06:00:00  AM,7.381,,,,
404,08/12/19 07:00:00  AM,7.280,,,,
405,08/12/19 08:00:00  AM,8.581,,,,
406,08/12/19 09:00:00  AM,8.879,,,,
407,08/12/19 10:00:00  AM,10.455,,,,
408,08/12/19 11:00:00  AM,11.819,,,,
409,08/12/19 12:00:00  PM,13.750,,,,
410,08/12/19 01:00:00  PM,16.523,,,,
411,08/12/19 02:00:00  PM,24.545,,,,
412,08/12/19 03:00:00  PM,18.996,,,,
413,08/12/19 04:00:00  PM,15.664,,,,
414,08/12/19 05:00:00  PM,15.569,,,,
415,08/12/19 06:00:00  PM,14.134,,,,
416,08/12/19 07:00:00  PM,12.787,,,,
417,08/12/19 08:00:00  PM,11.625,,,,
418,08/12/19 09:00:00  PM,10.063,,,,
419,08/12/19 10:00:00  PM,8.382,,,,
