Site ,Stem_Count,Flowering ,Elevation,Distance_from_Glacial_Terminus_(m),Zone ,Notes,,
GB21,1,N,1418,1200,1928,,,
GB21,0,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,23,N,1418,1200,1928,,,
GB21,5,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,6,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,39,N,1418,1200,1928,,,
GB21,16,N,1418,1200,1928,,,
GB21,9,N,1418,1200,1928,,,
GB21,10,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,64,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,20,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,4,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,11,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB21,7,N,1418,1200,1928,,,
GB21,8,N,1418,1200,1928,,,
GB21,5,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,6,N,1418,1200,1928,,,
GB21,1,N,1418,1200,1928,,,
GB21,3,N,1418,1200,1928,,,
GB21,2,N,1418,1200,1928,,,
GB22,1,Y,1290,2420,1910,,,
GB22,1,Y,1290,2420,1910,,,
GB22,6,N,1290,2420,1910,,,
GB22,2,N,1290,2420,1910,,,
GB22,9,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,1,N,1290,2420,1910,,,
GB22,0,N,1290,2420,1910,,,
GB22,0,N,1290,2420,1910,,,
GB22,0,N,1290,2420,1910,,,
GB22,0,N,1290,2420,1910,,,
