"Plot Title: garibaldi_hobo_14_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406797, SEN S/N: 10406797)","Host Connected (LGR S/N: 10406797)","Coupler Attached (LGR S/N: 10406797)","Stopped (LGR S/N: 10406797)","End Of File (LGR S/N: 10406797)"
360,09/14/19 11:00:00  AM,5.757,,,,
361,09/14/19 12:00:00  PM,5.860,,,,
362,09/14/19 01:00:00  PM,6.775,,,,
363,09/14/19 02:00:00  PM,6.573,,,,
364,09/14/19 03:00:00  PM,6.370,,,,
365,09/14/19 04:00:00  PM,6.166,,,,
366,09/14/19 05:00:00  PM,6.166,,,,
367,09/14/19 06:00:00  PM,6.166,,,,
368,09/14/19 07:00:00  PM,5.962,,,,
369,09/14/19 08:00:00  PM,5.860,,,,
370,09/14/19 09:00:00  PM,5.860,,,,
371,09/14/19 10:00:00  PM,5.552,,,,
372,09/14/19 11:00:00  PM,5.141,,,,
373,09/15/19 12:00:00  AM,4.623,,,,
374,09/15/19 01:00:00  AM,4.415,,,,
375,09/15/19 02:00:00  AM,3.998,,,,
376,09/15/19 03:00:00  AM,3.998,,,,
377,09/15/19 04:00:00  AM,3.472,,,,
378,09/15/19 05:00:00  AM,3.049,,,,
379,09/15/19 06:00:00  AM,2.943,,,,
380,09/15/19 07:00:00  AM,3.049,,,,
381,09/15/19 08:00:00  AM,3.893,,,,
382,09/15/19 09:00:00  AM,3.472,,,,
383,09/15/19 10:00:00  AM,3.261,,,,
384,09/15/19 11:00:00  AM,3.893,,,,
385,09/15/19 12:00:00  PM,4.831,,,,
386,09/15/19 01:00:00  PM,4.934,,,,
387,09/15/19 02:00:00  PM,6.877,,,,
388,09/15/19 03:00:00  PM,6.064,,,,
389,09/15/19 04:00:00  PM,4.519,,,,
390,09/15/19 05:00:00  PM,4.415,,,,
391,09/15/19 06:00:00  PM,10.357,,,,
392,09/15/19 07:00:00  PM,9.571,,,,
393,09/15/19 08:00:00  PM,6.370,,,,
394,09/15/19 09:00:00  PM,5.655,,,,
395,09/15/19 10:00:00  PM,5.037,,,,
396,09/15/19 11:00:00  PM,4.831,,,,
397,09/16/19 12:00:00  AM,4.727,,,,
398,09/16/19 01:00:00  AM,4.831,,,,
399,09/16/19 02:00:00  AM,4.415,,,,
400,09/16/19 03:00:00  AM,3.261,,,,
401,09/16/19 04:00:00  AM,2.837,,,,
402,09/16/19 05:00:00  AM,3.155,,,,
403,09/16/19 06:00:00  AM,2.195,,,,
404,09/16/19 07:00:00  AM,1.439,,,,
405,09/16/19 08:00:00  AM,2.517,,,,
406,09/16/19 09:00:00  AM,6.166,,,,
407,09/16/19 10:00:00  AM,10.553,,,,
408,09/16/19 11:00:00  AM,12.401,,,,
409,09/16/19 12:00:00  PM,15.664,,,,
410,09/16/19 01:00:00  PM,22.142,,,,
411,09/16/19 02:00:00  PM,22.908,,,,
412,09/16/19 03:00:00  PM,19.187,,,,
413,09/16/19 04:00:00  PM,15.951,,,,
414,09/16/19 05:00:00  PM,12.304,,,,
415,09/16/19 06:00:00  PM,9.965,,,,
416,09/16/19 07:00:00  PM,6.573,,,,
417,09/16/19 08:00:00  PM,4.934,,,,
418,09/16/19 09:00:00  PM,6.370,,,,
419,09/16/19 10:00:00  PM,6.471,,,,
420,09/16/19 11:00:00  PM,7.983,,,,
421,09/17/19 12:00:00  AM,6.064,,,,
422,09/17/19 01:00:00  AM,6.064,,,,
423,09/17/19 02:00:00  AM,6.268,,,,
424,09/17/19 03:00:00  AM,5.552,,,,
425,09/17/19 04:00:00  AM,5.347,,,,
426,09/17/19 05:00:00  AM,5.244,,,,
427,09/17/19 06:00:00  AM,5.244,,,,
428,09/17/19 07:00:00  AM,5.141,,,,
429,09/17/19 08:00:00  AM,5.655,,,,
430,09/17/19 09:00:00  AM,5.141,,,,
431,09/17/19 10:00:00  AM,5.141,,,,
432,09/17/19 11:00:00  AM,4.934,,,,
433,09/17/19 12:00:00  PM,7.079,,,,
434,09/17/19 01:00:00  PM,10.455,,,,
435,09/17/19 02:00:00  PM,10.455,,,,
436,09/17/19 03:00:00  PM,11.139,,,,
437,09/17/19 04:00:00  PM,16.141,,,,
438,09/17/19 05:00:00  PM,18.140,,,,
439,09/17/19 06:00:00  PM,18.331,,,,
440,09/17/19 07:00:00  PM,22.525,,,,
441,09/17/19 08:00:00  PM,23.292,,,,
442,09/17/19 09:00:00  PM,23.581,,,,
443,09/17/19 10:00:00  PM,23.966,,,,
444,09/17/19 11:00:00  PM,24.062,,,,
445,09/18/19 12:00:00  AM,23.966,,,,
446,09/18/19 01:00:00  AM,23.966,,,,
447,09/18/19 02:00:00  AM,23.869,,,,
448,09/18/19 03:00:00  AM,23.869,,,,
449,09/18/19 04:00:00  AM,23.773,,,,
450,09/18/19 05:00:00  AM,23.773,,,,
451,09/18/19 06:00:00  AM,23.773,,,,
452,09/18/19 07:00:00  AM,23.966,,,,
453,09/18/19 08:00:00  AM,23.966,,,,
454,09/18/19 09:00:00  AM,23.966,,,,
455,09/18/19 10:00:00  AM,23.966,,,,
456,09/18/19 11:00:00  AM,23.100,,,,
457,09/18/19 12:00:00  PM,23.773,,,,
458,09/18/19 01:00:00  PM,22.238,,,,
459,09/18/19 02:00:00  PM,21.855,,,,
460,09/18/19 03:00:00  PM,21.473,,,,
461,09/18/19 04:00:00  PM,21.760,,,,
462,09/18/19 04:25:34  PM,,Logged,,,
463,09/18/19 04:25:35  PM,,,Logged,,
464,09/18/19 04:25:39  PM,,,,Logged,Logged
