"Plot Title: garibaldi_hobo_6_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019732, SEN S/N: 10019732, LBL: Temp)","Coupler Attached (LGR S/N: 10019732)","Host Connected (LGR S/N: 10019732)","Stopped (LGR S/N: 10019732)","End Of File (LGR S/N: 10019732)"
468,08/14/19 11:00:00  PM,9.669,,,,
469,08/15/19 12:00:00  AM,9.176,,,,
470,08/15/19 01:00:00  AM,8.978,,,,
471,08/15/19 02:00:00  AM,8.382,,,,
472,08/15/19 03:00:00  AM,7.882,,,,
473,08/15/19 04:00:00  AM,7.582,,,,
474,08/15/19 05:00:00  AM,7.280,,,,
475,08/15/19 06:00:00  AM,6.877,,,,
476,08/15/19 07:00:00  AM,7.079,,,,
477,08/15/19 08:00:00  AM,8.082,,,,
478,08/15/19 09:00:00  AM,9.077,,,,
479,08/15/19 10:00:00  AM,13.558,,,,
480,08/15/19 11:00:00  AM,25.708,,,,
481,08/15/19 12:00:00  PM,20.329,,,,
482,08/15/19 01:00:00  PM,25.319,,,,
483,08/15/19 02:00:00  PM,30.862,,,,
484,08/15/19 03:00:00  PM,32.188,,,,
485,08/15/19 04:00:00  PM,31.166,,,,
486,08/15/19 05:00:00  PM,30.558,,,,
487,08/15/19 06:00:00  PM,17.570,,,,
488,08/15/19 07:00:00  PM,14.517,,,,
489,08/15/19 08:00:00  PM,11.819,,,,
490,08/15/19 09:00:00  PM,10.259,,,,
491,08/15/19 10:00:00  PM,9.571,,,,
492,08/15/19 11:00:00  PM,9.077,,,,
493,08/16/19 12:00:00  AM,8.581,,,,
494,08/16/19 01:00:00  AM,7.983,,,,
495,08/16/19 02:00:00  AM,8.282,,,,
496,08/16/19 03:00:00  AM,8.182,,,,
497,08/16/19 04:00:00  AM,8.481,,,,
498,08/16/19 05:00:00  AM,8.382,,,,
499,08/16/19 06:00:00  AM,8.282,,,,
500,08/16/19 07:00:00  AM,9.176,,,,
501,08/16/19 08:00:00  AM,11.334,,,,
502,08/16/19 09:00:00  AM,13.269,,,,
503,08/16/19 10:00:00  AM,13.173,,,,
504,08/16/19 11:00:00  AM,18.521,,,,
505,08/16/19 12:00:00  PM,17.570,,,,
506,08/16/19 01:00:00  PM,14.804,,,,
507,08/16/19 02:00:00  PM,13.461,,,,
508,08/16/19 03:00:00  PM,13.558,,,,
509,08/16/19 04:00:00  PM,13.654,,,,
510,08/16/19 05:00:00  PM,12.497,,,,
511,08/16/19 06:00:00  PM,12.110,,,,
512,08/16/19 07:00:00  PM,11.625,,,,
513,08/16/19 08:00:00  PM,11.041,,,,
514,08/16/19 09:00:00  PM,10.846,,,,
515,08/16/19 10:00:00  PM,10.651,,,,
516,08/16/19 11:00:00  PM,10.357,,,,
517,08/17/19 12:00:00  AM,10.259,,,,
518,08/17/19 01:00:00  AM,10.063,,,,
519,08/17/19 02:00:00  AM,9.965,,,,
520,08/17/19 03:00:00  AM,9.965,,,,
521,08/17/19 04:00:00  AM,9.965,,,,
522,08/17/19 05:00:00  AM,9.768,,,,
523,08/17/19 06:00:00  AM,9.669,,,,
524,08/17/19 07:00:00  AM,9.669,,,,
525,08/17/19 08:00:00  AM,10.553,,,,
526,08/17/19 09:00:00  AM,11.334,,,,
527,08/17/19 10:00:00  AM,14.038,,,,
528,08/17/19 11:00:00  AM,13.365,,,,
